NumIndivs 70
NumLoci 73
Digits 3
Format Lumped
LocusNames chr01A_3015367 chr01A_3015375 chr01A_3015376 chr01A_3015397 chr01A_3101053 chr01A_3105730 chr01A_3106144 chr01A_3106146 chr01A_3106242 chr01A_3127152 chr01A_3128823 chr01A_3130493 chr01A_3130540 chr01A_3134555 chr01A_3137821 chr01A_3137824 chr01A_3140048 chr01A_3140163 chr01A_44210178 chr01A_44219388 chr01A_44262369 chr01A_46301403 chr01A_46309736 chr01A_46339592 chr01A_46345915 chr01A_46395563 chr02_86232260 chr03_92897221 chr03_108117879 chr03_108155481 chr04A_9152821 chr05_53665306 chr05_53673073 chr05_53674337 chr05_53676296 chr05_53676311 chr05_53680085 chr05_53726082 chr05_53736018 chr05_53744513 chr05_53755713 chr05_53755721 chr05_53756519 chr05_53756534 chr05_53763043 chr05_53767254 chr05_53768020 chr05_53769355 chr05_53769552 chr05_53774342 chr05_53794294 chr05_53794376 chr05_53794413 chr05_53794548 chr05_53800793 chr05_53800804 chr05_53800972 chr05_53808339 chr05_53814408 chr05_53814455 chr05_53822116 chr05_53880154 chr05_53880429 chr05_53882233 chr05_53889046 chr05_53889381 chr05_53898529 chr05_53938807 chr06_3474741 chr13_400078 chr13_401538 chr13_17867268 chr13_17901712
11 100110 110110 110100 110110 100110 110110 110110 100100 110110 110110 110110 110110 000000 000000 110110 110110 110110 110110 110110 100110 100100 000000 110110 100110 000000 110110 110110 110110 110110 110110 110110 110110 110110 110110 110110 110110 000000 110110 110110 110110 000000 000000 110110 110110 110110 110110 110110 000000 110110 110110 110110 000000 000000 110110 110110 110110 110110 110110 110110 110110 110110 110110 000000 110110 110110 110110 110110 110110 000000 110110 110110 000000 000000
12 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 100100 100100 100100 100100 100100 100100 100100 110100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100
13 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 000000 100100 100100 100100 100100 100100 100100 100100 100100 110100 100110 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100
14 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100110 100100 100110 100100 100100
15 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 000000 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100
16 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 100100 100100 100100 100100 100100 100100 100100 100100 100110 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100
17 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 100100 100100 100100 100100 100100 100100 100110 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100110 100100 000000 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000
18 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 000000 100100 100100 100100 100100 100110 110100 000000 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100
19 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 000000 100100 100100 100100 100100 100100 100100 100100 100100 100110 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100
20 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 100100 100100 100100 100100 100100 100110 100100 100100 110100 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100
21 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 100100 100100 100100 100100 100100 100100 100100 100100 100110 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100
22 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 110110 110110 100100 100100 100100 100100 100100 100100 100100 100100 100100 110100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100 100110 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 100100 000000 100100 100100 100100 100100 100100 100100 100100 100100 100110 100100 100100
23 110100 110100 110100 110100 110100 110100 110100 000000 110100 100100 110100 110100 110100 110100 110100 110100 110100 110100 100100 100110 100110 110100 100100 110100 110100 110100 110100 110100 110100 110100 110110 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 100100 100100 110100 000000 110100
24 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 000000 000000 110100 110100 110100 110100 110100 100110 100100 110100 110100 100100 100100 100100 110100 110100 110110 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110110 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 100100 100100 110100 110100 100100
25 110100 110100 110100 110100 110100 000000 000000 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 100110 100110 000000 110100 110100 110100 110100 110110 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 100100 110100 110100 110100 110100 110100 110100 100100
26 110100 110100 110100 100100 110100 000000 100100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 100110 100110 100100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 000000 110100 000000 110100 110100 110100 100100
27 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 100110 100110 000000 110100 110100 100100 110100 110100 110100 110100 000000 110110 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 000000 110100 110100 110100 000000 110100 110100 110100 110110 110100 110100 100100
28 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 100110 100110 000000 100100 110100 110100 110100 110100 110100 110100 110100 110110 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 100100 110100 110100 000000 100100 100100 110100 110100
29 110100 110100 100100 110100 110100 110100 000000 100100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110110 100110 000000 110100 110100 110100 110100 110100 100100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 000000 110100 110100 100100 100100 110100 000000 110100
30 110100 110100 110100 100100 110100 110100 000000 100100 110100 110100 000000 000000 110100 000000 110100 110100 110100 110100 110100 100110 100110 110100 110100 100100 000000 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 000000 100100 110100 100100 100100
31 110100 110100 110100 110100 110100 110100 110100 000000 110100 100100 110100 110100 110100 000000 110100 110100 110100 110100 100100 100110 100110 110100 100100 100100 100100 110100 110100 110100 110100 110110 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 100100
32 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 100110 000000 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 000000 110100 110100 000000 110100 110100 100100 000000
33 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 100100 100110 100110 110100 100100 110100 110100 110100 110100 110100 000000 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 100100 110100 110100 000000 110100 100100 110100 100100
34 110100 100100 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 110100 000000 110100 110100 110100 110100 000000 110110 100110 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 110100 000000 000000 110100 110100 110100 110100 110100 000000 110110 110100 110100 110100
35 100110 110100 100110 100110 100100 100100 110100 100100 110110 100100 100110 100110 100110 100100 100110 110100 110100 100110 110110 110110 100100 100110 110100 100110 000000 100110 110110 110100 110110 000000 100110 110110 110100 000000 110100 100100 100100 110110 110110 110110 100100 110110 100100 100100 100110 110100 100110 100110 110110 100100 100110 100110 110100 100110 100110 100110 100100 110100 000000 110100 110110 110100 110100 110110 110110 110110 000000 110110 000000 100100 100110 100100 110100
36 110100 110100 110110 100110 110110 110100 110110 110100 110110 100100 110100 110100 100110 110110 110100 110110 110100 100100 110110 110110 110110 000000 110100 100100 110110 100110 100110 100100 000000 000000 110110 110100 100100 100100 100110 110100 100110 100100 110100 100110 100100 000000 100110 100100 100100 100100 110100 110110 110100 100110 110110 100110 110100 100100 100110 100110 100100 110110 100110 110100 110100 110110 100100 110110 100110 100100 100110 100110 100100 100110 110110 100110 110100
37 110110 100100 110110 110110 100110 000000 100100 110100 110100 110110 110110 100110 110100 100110 110110 110100 100110 110110 110100 110110 100110 100100 100110 100100 100100 110110 110110 100100 110100 110110 100110 110100 110110 000000 110110 100100 100110 100100 100100 100110 110110 110110 100100 100110 110100 110110 100100 100110 110110 100100 100100 100110 110110 100110 110110 100110 100110 100110 100100 100110 100100 000000 110100 110110 110110 000000 110110 110100 100100 100110 100110 100100 110100
38 100100 110110 100100 110100 100110 100110 100110 100100 100100 100100 110100 100110 100110 100110 110100 110110 100100 100110 100100 110110 110100 110110 110100 100110 100110 100100 110100 100110 110100 100100 100100 100100 100100 110100 100110 110110 110100 100110 100110 110110 100100 110110 110110 110110 100100 100110 110110 100110 100110 110100 110110 100100 100100 100100 110110 110110 110110 110110 100100 100100 110110 100110 000000 110100 110110 110100 100110 110110 100100 100100 110110 100110 100110
39 100110 100110 110110 110110 110110 100110 100110 100110 100110 110110 100100 100100 100100 110100 100110 110100 110110 100100 110100 100100 110110 110110 000000 100100 110110 110100 100100 100110 110110 110110 110110 100110 110100 110100 110100 110110 100100 100110 110100 110110 100110 110110 110110 110100 100100 110100 110110 100110 110100 100100 100100 110100 000000 100100 110110 100110 110100 110110 110110 100100 110110 100100 100110 110110 110100 110100 100100 100110 000000 110100 110110 100110 100110
40 100110 100100 110100 100100 100110 100100 110110 100110 110100 110100 100100 100100 110100 100110 100100 100100 100100 100100 110100 110100 000000 000000 110100 100100 100100 100100 100110 110100 110110 100100 110110 100100 100110 100110 100100 100100 110100 110110 100110 100100 100110 110100 110110 100110 100100 100110 110110 110110 100110 110100 100100 100110 100100 110110 110100 110100 100100 100110 110110 100100 100100 100100 110110 100110 100110 000000 100110 110110 000000 100100 100100 000000 000000
41 100100 100110 100100 110110 100110 100100 100100 100110 110100 110100 000000 110100 000000 100110 110110 100110 110100 110100 000000 110100 110110 000000 110100 100100 100110 100110 100110 100100 100100 110110 110110 110110 110110 100100 110110 110110 100100 100100 100110 000000 110110 110100 110100 110100 110100 110100 110110 110110 110100 100100 110110 110100 100110 110100 100100 110100 100110 110110 100100 110110 100110 100100 100100 110110 100100 100110 110110 110110 110110 100110 110110 100100 000000
42 100100 100100 110100 100110 110100 100100 100100 000000 110110 100100 110100 100100 100110 000000 100110 110110 100110 110110 100100 100100 100100 100100 110100 110100 100100 110100 110110 110100 110110 000000 100100 100110 110110 100100 100100 110100 100110 110100 100100 100110 100110 100100 100100 100110 110110 100110 100100 100110 110110 110110 100110 100100 110110 100110 110100 100100 100110 100110 110110 110110 110100 110100 000000 100100 100100 100110 110100 000000 100110 110100 100110 000000 100100
43 110100 100100 100100 100100 110110 000000 100110 000000 110100 100100 100100 000000 110110 110110 100110 110110 100100 110100 100100 110110 100100 100110 100110 100110 100100 110110 110110 110100 100100 110100 100100 110110 100110 100110 110110 100110 100110 100110 100110 110110 110100 110110 110110 110110 100100 100110 100100 110110 100110 110110 100100 100100 100100 110110 110110 110110 000000 110110 110100 100100 110100 100110 000000 100110 110110 110100 000000 100110 100100 110100 110100 110110 110100
44 100100 110110 110110 100100 100100 110100 100100 100110 110110 100100 100110 110100 110110 000000 100100 100100 110110 110100 110110 100100 100100 000000 100110 110110 100110 100110 110100 110110 100100 110110 110110 110110 100110 100110 100110 110100 100110 100110 100100 100110 100100 000000 100100 100110 100110 110100 110110 110110 110110 110110 100110 100100 110110 100110 110100 110110 100110 100110 110110 110110 110110 100100 100110 110100 110110 100100 100110 100110 100100 100110 100100 100110 100100
45 100100 110100 110100 100110 100100 110100 110100 100110 100100 100100 100110 000000 100110 110110 110110 100110 100100 110110 110100 100110 110100 100100 100100 100110 110100 100100 110110 100110 100110 100110 110110 110110 110100 110100 100100 110110 110110 100100 100110 110110 000000 100110 000000 100100 100100 100100 110100 110100 110100 110100 110110 110100 100110 100100 100100 110100 100100 100110 110100 110100 110110 100110 000000 110100 110100 000000 110100 100100 110110 100100 100100 100110 100100
46 100110 110100 110100 110100 110110 110100 100110 100100 110100 110110 100110 100110 110100 000000 110100 110110 100100 110100 110100 100110 100110 100100 100110 100100 000000 100100 110110 110100 100110 110100 100110 110110 110100 100100 100100 100110 100110 110100 100110 100110 110110 100110 100110 100110 110110 100100 100100 100100 110110 100100 100100 100110 100110 110100 100110 100110 110100 110100 000000 110110 110110 000000 100110 110110 100110 100100 100100 100100 110100 110100 100110 110100 100100
47 110110 100100 110100 110110 110110 000000 110100 110110 110100 110100 110110 110110 110110 000000 110110 110100 110110 110100 000000 110110 100100 110100 110100 110100 000000 110100 110100 110100 110100 110110 110110 110100 110110 110100 110100 110100 110110 110110 110100 000000 110110 110110 110100 110100 110100 110100 110100 000000 110110 110100 110110 110110 110100 110110 110100 110110 110110 110110 110100 110100 110100 110110 110100 000000 110110 110110 110100 110100 110100 110100 110100 110110 110110
48 110110 100100 110110 110110 110100 110100 100100 000000 110110 110110 110110 110110 110110 110100 110110 110110 110100 110100 100100 100110 000000 110100 110100 110100 000000 110110 110110 110100 110110 000000 110110 110110 110100 110100 110100 110100 110100 110110 110100 110110 110110 000000 110100 000000 110100 110100 110100 110110 110110 110110 110110 000000 000000 110110 110110 110100 110110 110110 110110 110110 110110 000000 110110 000000 110100 000000 110100 110110 110110 110100 110110 110100 110110
49 110100 110110 110110 110100 110100 110100 110100 110100 110100 110100 110110 110110 110110 110100 110100 110100 110110 110100 110110 100110 100100 000000 110110 110100 110110 110100 110100 110100 110110 110110 110100 110110 110110 110110 110100 110110 110110 110110 110100 110110 110110 000000 110110 110100 110100 110110 110110 110100 110110 110110 110100 110100 110100 110100 110100 110100 110110 110100 110110 110100 110110 110100 110110 110110 110100 110100 110100 110110 110110 110100 110110 110110 110110
50 110100 110100 110100 110110 110100 000000 000000 110110 110110 110110 000000 110110 110110 000000 110100 110110 110110 110100 110110 100110 100110 110100 100110 110100 000000 110100 110110 110100 110110 110100 110110 110110 110100 110100 110100 110100 000000 110110 110100 110110 110110 110110 110100 000000 110100 110110 110110 000000 110110 110110 110110 110110 110110 110100 110110 110110 110100 110100 110110 110110 110100 000000 110100 110100 110100 000000 110100 110110 110100 100100 110110 110100 110100
51 100100 110100 110100 110110 100100 110100 110100 100110 110100 100110 110110 110100 110100 110100 110110 110110 110100 110110 110100 100100 100110 110100 110100 110100 110100 100110 110110 110100 110100 110100 110100 110110 110110 110100 110100 110100 110100 110110 110100 110100 110110 000000 000000 110100 110100 110100 110100 110110 110100 110110 110110 110100 110100 110110 110100 110100 110110 110100 110110 110110 110100 000000 110100 110110 110100 000000 110100 110110 100110 100100 110110 100110 110100
52 110100 110110 110110 110100 110110 000000 000000 100110 110110 110110 000000 110110 110110 110110 110110 110100 110100 110110 100100 100100 100100 100110 000000 110100 110100 110100 110110 110100 110110 110110 110110 110100 110110 000000 110100 110100 110100 110110 110100 110110 000000 110100 110100 110110 110100 110110 110100 110110 110110 110110 110100 110100 110100 110100 110110 110100 110110 110110 110100 110100 110110 110110 000000 110110 110110 110100 110110 110110 110100 110100 110110 110110 110110
53 110110 110110 110100 110110 110100 110100 110100 110100 110110 110110 110100 110100 110100 000000 110110 110100 110110 110110 000000 100110 100100 110110 110100 110110 110110 110110 110100 110110 110100 110110 110110 110100 110110 110110 110100 110110 110110 110100 110110 110110 110100 110110 110110 110100 110100 110110 110100 110110 110100 110110 110100 110110 110110 110100 110110 110100 000000 110100 110100 110110 110100 000000 110100 110100 110110 000000 110110 110100 110110 110100 110110 000000 110110
54 110100 110110 110110 110100 110100 110100 110100 110110 110100 100100 110110 110110 110110 110100 110110 110100 110100 110100 110100 110110 100100 000000 100100 110110 000000 110100 110100 110100 110110 110110 110100 110100 110100 110100 110100 110110 110110 110100 110100 000000 110110 110100 110110 110100 110110 110100 110100 110110 110100 110100 110110 000000 000000 110100 110110 110110 110110 110110 110100 110110 110110 110110 110110 110100 110100 000000 110110 110110 100100 100110 110100 000000 110100
55 110110 110100 110100 110110 110110 110110 000000 100100 110100 110110 110110 110110 110100 110100 110100 110100 110100 110100 110100 100100 110110 000000 110100 110110 110100 110100 110100 110100 110110 110110 110100 110100 110110 110110 110110 110110 110110 110110 110100 000000 110100 110100 000000 110100 110110 110100 110100 110110 110100 110100 110100 000000 110100 110110 110100 110110 110110 110110 110100 110110 110100 110110 110110 110110 110110 110110 110110 110110 000000 110100 110100 000000 110100
56 110100 110110 100100 110110 110110 110110 110110 100100 110100 110100 100100 110110 110100 110100 110100 110100 110110 110100 100100 100110 100100 110100 110100 110110 000000 110100 110110 100100 000000 110110 110110 110100 110110 110100 110100 110100 110100 110100 110110 110110 110110 110110 110110 110100 110100 110100 110110 000000 110110 110100 110100 110110 000000 110110 110100 110110 110110 110110 110110 110100 110100 000000 110110 110100 110110 000000 110100 110110 000000 110100 100100 110110 110100
57 110100 110110 110100 110110 110110 110100 110110 110110 110110 110100 110100 110100 110100 110110 110100 110110 110100 110100 100110 100100 100110 110100 110100 110100 110100 110110 110110 100110 110100 110110 110110 110110 110110 000000 110100 110110 110110 110100 110100 110110 110100 110100 110100 000000 110110 110100 110100 110100 110110 110100 110100 110110 110100 110110 110110 110100 110110 110110 110100 110110 110110 000000 110110 110110 110100 000000 110100 000000 110100 110100 110110 110110 100110
